Nama,Program Studi
MOHAMMAD SALEH,Ilmu Ekonomi (S3)
MOHAMMAD SALEH,Ilmu Ekonomi (S3)
SOFIA,Penyuluhan Pertanian (S1)
INTAN KARTIKA SETYAWATI,Agribisnis (S1)
WAHYU AGUS WINARNO,Ilmu Akuntansi (S3)
DYAH AYU PUSPITANINGRUM,Pendidikan Guru Sekolah Dasar (S1)
ALBERTUS DJOKO LESMONO,Pendidikan Fisika (S1)
ZAHRAH FEBIANTI,Pendidikan Dokter (S1)
LANTIN SULISTYORINI,Ilmu Keperawatan (S1)
MARIJONO,Unknown
MEIDIANA PURNAMASARI,Agribisnis (S1)
ANGGA MARDRO RAHARJO,Pendidikan Dokter (S1)
DISTIANA WULANJARI,Ilmu Pertanian (S1)
LAILATUL AZKIYAH,Teknologi Hasil Pertanian (S1)
WIDYA CAHYADI,Teknik Elektro (S1)
EDY SUPRIYANTO,Fisika (S2)
DIAH YULISETIARINI,Ilmu Manajemen (S3)
NURUL INSANI SHULLIA,Pendidikan Biologi (S1)
YUDI ARIS SULISTIYO,Kimia (S1)
LAILY MUTMAINNAH,Ilmu Tanah (S1)
SONI SISBUDI HARSONO,Teknik Pertanian (S1)
GAGUK JATISUKAMTO,Teknik Mesin (S2)
DIAN PURBASARI,Teknik Pertanian (S1)
RIYANTO EFENDI,Pendidikan Ekonomi (S1)
M. ABD. NASIR,Ekonomi Pembangunan (S1)
PENI PUJIASTUTI,Dokter Gigi (Profesi)
NILA MUTIA DEWI,Pendidikan Fisika (S1)
AGUNG NUGROHO PUSPITO,Bioteknologi (S2)
YUNUS ARIYANTO,Kesehatan Masyarakat (S1)
TRI WAHYUNI,Keperawatan (D3)
MUH NURKOYIM KUSTANTO,Unknown
JON HAFAN SUTAWARDANA,Ilmu Keperawatan (S1)
RIZKA ELAN FADILAH,Pendidikan  IPA (S1)
SUGENG WINARSO,Pengelolaan Sumberdaya Air Pertanian (S2)
ULFA ELFIAH,Bedah (Sp-1)
RATIH APRI UTAMI,Agribisnis (S1)
MOHAMMAD ALI,Ilmu Hukum (S3)
ANSORI,Teknik Kimia (S1)
ANDREI RAMANI,Kesehatan Masyarakat (S1)
AYU MUNAWAROH AZIZ,Pendidikan Dokter (S1)
SHEILLA RACHMANIA,Pendidikan Dokter (S1)
RUFIANI NADZIRAH,Teknik Pertanian (S1)
RISTA DWI HERMILASARI,Gizi (S1)
ERIK YOHAN KARTIKO,Informatika (S1)
MARKUS APRIONO,Manajemen (S1)
RIRIN IRMADARIYANI,Ilmu Akuntansi (S3)
IKA NORCAHYANTI,Profesi Apoteker (Profesi)
FELIX ARIE SETIAWAN,Teknik Kimia (S1)
MOHAMAD HASAN,Matematika (S2)
MUHAMMAD ZIAUL ARIF,Matematika (S1)
DWITA ARYADINA RACHMAWATI,Pendidikan Dokter (S1)
DIANA SULIANTI K TOBING,Manajemen (S1)
AKHMAD HARYONO,Ilmu Linguistik (S2)
DJOKO SOEJONO,Agribisnis (S1)
KAYAN SWASTIKA,Pendidikan Sejarah (S1)
NUZULIA KUMALA SARI,Ilmu Hukum (S1)
BAGUS DWI CAHYONO,Keperawatan (Kampus Kota Pasuruan) (D3)
EDY HARIYADI,Sastra Indonesia (S1)
RIKE OKTARIANTI,Biologi (S2)
DWI PRIJATMOKO,Dokter Gigi (Profesi)
INNO CAHYANING TYAS,Pendidikan Bahasa Dan Sastra Indonesia (S1)
ACHMAD SJAIFULLAH,Unknown
BAWON TRIATMOKO,Farmasi (S1)
PAKSITYA PURNAMA PUTRA,Teknik Sipil (S1)
RIRIN ENDAH BADRIANI,Teknik Lingkungan (S1)
TRAPSILA SIWI HUTAMI,Pendidikan Guru Sekolah Dasar (S1)
SUGIYANTA,Pendidikan Dokter (S1)
NINING IKA WAHYUNI,Akuntansi (S2)
ROJABI AZHARGHANY,Sosiologi (S1)
HERY PRASETYO,Sosiologi (S1)
ANI ROSA PUTRI AYU MUJAYANAH,Teknologi Hasil Pertanian (S1)
YUDHA NURDIAN,Pendidikan Dokter (S1)
RAYENDRA WAHYU BACHTIAR,Pendidikan Fisika (S1)
EKA WAHJUNINGSIH,Pendidikan Bahasa Inggris (S1)
ANIK SUWANDARI,Agribisnis (S1)
YUDA CAHYOARGO HARIADI,Fisika (S2)
SUMARDI,Pendidikan Sejarah (S1)
IZZATA BARID,Pendidikan Dokter Gigi (S1)
RADEN ANDI SULARSO,Ilmu Manajemen (S3)
FRIMHA PURNAMAWATI,Pendidikan Luar Sekolah (S1)
ERVIN OKTAVIANINGTYAS,Pendidikan Profesi Guru (Profesi)
ERVIN OKTAVIANINGTYAS,Pendidikan Profesi Guru (Profesi)
TRIANA LINDRIATI,Teknologi Hasil Pertanian (S1)
M. ALI SHODIKIN,Pendidikan Dokter (S1)
DWI KARTIKA APRIYONO,Dokter Gigi (Profesi)
ASRUMI,Sastra Indonesia (S1)
FENNY TRIA YUNITA,Ilmu Hukum (S1)
MUHAMMAD TRIFIANANTO,Rekayasa Perancangan Mekanik (D4)
NUNUNG NURING HAYATI,Perencanaan Wilayah dan Kota (S1)
EVITA SOLIHA HANI,Agribisnis (S2)
PREHATIN TRIRAHAYU NINGRUM,Kesehatan Masyarakat (S1)
DEASY WULANDARI,Manajemen (S1)
LUSIANA ULFA HARDINAWATI,Ekonomi Syariah (S1)
TANTI HARYATI,Kimia (S1)
TECKY INDRIANA,Pendidikan Dokter Gigi (S1)
YUNITA DYAH KUSUMANINGRUM,Profesi Apoteker (Profesi)
JULITA HASANAH,Agribisnis (S1)
GHANESYA HARI MURTI,Sastra Inggris (S1)
DEWI KRISTIANA,Dokter Gigi (Profesi)
MUHAMAD HASAN,Pendidikan Dokter (S1)
KUSWATI,Pendidikan Biologi (S1)
SATTYA ARIMURTI,Biologi (S1)
AGUNG PURWANTO,Ilmu Hubungan Internasional (S1)
ACHMAD SUBAGIO,Teknologi Agroindustri (S2)
TRIWAHJU HARDIANTO,Teknik Elektro (S2)
SITI MUSLICHAH,Farmasi (S1)
KENDID MAHMUDI,Pendidikan Guru Sekolah Dasar (S1)
PANCA OKTAWIRANI,Usaha Perjalanan Wisata (D3)
FAHIMATUL ANIS,Pendidikan Guru Sekolah Dasar (S1)
SARI DEWI POERWANTI,Ilmu Kesejahteraan Sosial (S1)
ANIK RATNANINGSIH,Teknik Sipil (S2)
YENY DHOKHIKAH,Teknik Lingkungan (S1)
SUPIASTUTIK,Sastra Inggris (S1)
BAMBANG HERRY PURNOMO,Teknologi Agroindustri (S2)
SHAFWAN AMRULLAH,Teknologi Hasil Pertanian (S1)
NURUL LAILI FADHILAH,Ilmu Hukum (S1)
SINTA MAULIDA HAPSARI,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
HERU SETYA PUJI SAPUTRA,Sastra Indonesia (S1)
DYAH SETYORINI,Dokter Gigi (Profesi)
LATIFA AINI SUSUMANINGRUM,Ners (Profesi)
NGIZATUL AFIFAH,Pendidikan Matematika (S1)
FANNY TANUWIJAYA,Ilmu Hukum (S3)
TRI CANDRA SETIAWATI,Ilmu Tanah (S1)
MUHAMMAD BURHANUDDIN IRSYADI,Ilmu Pertanian (S1)
BAHRINA ALMAS,Ekonomi Syariah (S1)
RACHMANIA NURUL FITRI AMIJAYA,Ekonomi Syariah (S1)
LITA MEILINA,Teknologi Hasil Pertanian (S1)
MUHAMMAD MIQDAD,Ilmu Akuntansi (S3)
ZETTI FINALI,Pendidikan Guru Sekolah Dasar (S1)
SUPARMAN,Ekonomi Syariah (S1)
BUDI SETYONO,Pendidikan Bahasa Inggris (S2)
OKTALIA JUWITA,Sistem Informasi (S1)
LUTFI ROHMAN,Fisika (S2)
EVY ARISTAWATI,Keperawatan (Kampus Kota Pasuruan) (D3)
LAILY ILMAN WIDURI,Agronomi (S2)
RATIH LISTYANA CHANDRA,Ilmu Hukum (S1)
INDRAWATI,Pendidikan Ilmu Pengetahuan Alam (S2)
NOVITA ANDARINI,Kimia (S1)
TEJASARI,Teknologi Agroindustri (S2)
DIAH AYU RESTUTI WULANDARI,Teknik Sipil (S1)
RINI RIYANTI,Pendidikan Dokter (S1)
SADDAM HUSSEN,Pendidikan Matematika (S1)
SKRIPTYAN NOOR HIDAYATULLAH SYUHRI,Teknik Mesin (S1)
NOVIA LUTHVIATIN,Kesehatan Masyarakat (S1)
KHANIFATUL KHUSNA,Kesekretariatan (D3)
ARIK AGUK WARDOYO,Pendidikan Guru Sekolah Dasar (S1)
DWI HERLINDAWATI,Pendidikan Ekonomi (S1)
AL MUNAWIR,Bedah (Sp-1)
NIKEN PROBOSARI,Dokter Gigi (Profesi)
FANTERI AJI DHARMA SUPARNO,Teknik Pertambangan (S1)
EBBAN BAGUS KUNTADI,Agribisnis (S1)
AHMAD DAVID ROYYIFI ARIFIN,Teknologi Hasil Pertanian (S1)
M. FAHRUR ROZY HENTIHU,Teknik Mesin (S1)
ANTIKOWATI,Ilmu Hukum (S1)
ABDUH RISKI,Matematika (S1)
KARINA NINE AMALIA,Sistem Informasi (S1)
DUWI YUNITASARI,Ilmu Ekonomi (S3)
ABU KHOIRI,Administrasi Kesehatan (S2)
IKA LIA NOVENDA,Pendidikan Biologi (S1)
ALWAN SRI KUSTONO,Ilmu Akuntansi (S3)
ANDANG SUBAHARIANTO,Sastra Indonesia (S1)
ANDANG SUBAHARIANTO,Sastra Indonesia (S1)
DYAH INDARTIN SETYOWATI,Dokter Gigi (Profesi)
BAYU TARUNA WIDJAJA PUTRA,Teknik Pertanian (S1)
ARIQ DEWI MAHARANI,Agribisnis (S1)
ALEX HARIJANTO,Pendidikan Fisika (S1)
PRIZA PANDUNATA,Teknologi Informasi (S1)
ROMDHI FATKHUR ROZI,Televisi Dan Film (S1)
DIAH PUSPANINGRUM,Penyuluhan Pertanian (S1)
RISKA LAKSMITA SARI,Teknik Perminyakan (S1)
RINA LESTARI,Teknik Pertambangan (S1)
RAHMA REI SAKURA,Teknik Mesin (S1)
MELOK ARIS WAHYUKUNDARI,Dokter Gigi (Profesi)
AKHMAD HASANUDDIN,Teknik Sipil (S1)
RIZKY YANUARTI,Agribisnis (S1)
SUPRIYADI,Fisika (S1)
NURUL HUDA,Keperawatan (Kampus Kota Pasuruan) (D3)
ROSANITA NISVIASARI,Unknown
MOHAMAT FATEKUROHMAN,Matematika (S2)
WAZIROTUS SAKINAH,Teknik Konstruksi Perkapalan (S1)
PRADIPTYA AYU HARSITA,Peternakan (S1)
PRASETIYO,Perencanaan Wilayah dan Kota (S1)
CHRISTO SUMURUNG TUA SAGALA,Ilmu Hukum (S1)
LENNY WIDJAYANTHI,Penyuluhan Pertanian (S1)
SEPTI NUR RACHMAWATI,Gizi (S1)
"NANIN MEYFA UTAMI, ST.,MT",Teknik Sipil (S1)
KUSUMA WULANDARI,Ilmu Kesejahteraan Sosial (S1)
SARI SETYANINGSIH,Pendidikan Dokter Gigi (S1)
FAJAR WAHYU PRIANTO,Ekonomi Pembangunan (S1)
SEPTY HANDAYANI,Gizi (S1)
SUKANTO,Dokter Gigi (Profesi)
AKHMAD RYAN PRATAMA,Pendidikan Sejarah (S1)
SUKANTO,Dokter Gigi (Profesi)
AKHMAD SOFYAN,Ilmu Linguistik (S2)
DWI WIJONARKO,Teknologi Informasi (S1)
DEDITIANI TRI INDRIANTI,Pendidikan Luar Sekolah (S1)
NUR WIDODO,Peternakan (S1)
I DEWA AYU SUSILAWATI,Pendidikan Dokter Gigi (S1)
EMANUEL RAJA DAMAITU,Ilmu Hukum (S1)
TITIN KARTINI,Pendidikan Ekonomi (S1)
MASHURI,Keperawatan (D3)
I G KRISNADI,Ilmu Sejarah (S1)
SYAMSUL ARIFIN,Teknologi Rekayasa Konstruksi Bangunan Gedung (D4)
DIGDO LISTYADI SETYAWAN,Teknik Mesin (S1)
FATIMAH ZAHRA,Keperawatan (Kampus Kota Pasuruan) (D3)
AINUL AZIZAH,Ilmu Hukum (S1)
NANDO YUSSELE MARDIKA,Ilmu Hukum (S1)
INTAN PERMATA SARI,Unknown
N ARI SUBAGIO,Manajemen Perusahaan (D3)
SUMARDI,Teknik Elektro (S1)
SUHARTINI,Pendidikan Dokter Gigi (S1)
MARYANTO,Unknown
"NS. I GUSTI NGURAH JUNIARTHA, M. KEP",Keperawatan (D3)
EDY SANTOSO,Ekonomi Pembangunan (S1)
YULIANA MAHDIYAH DAAT ARINA,Dokter Gigi (Profesi)
AGUS SUMONO,Pendidikan Dokter Gigi (S1)
I MADE TIRTA,Matematika (S2)
NADIA KHOLIFIA,Matematika (S1)
NOVELA EKA CANDRA DEWI,Keperawatan (D3)
LINDA FAJARWATI,Pendidikan Luar Sekolah (S1)
UMMI SHOLIKHAH,Agroteknologi (S1)
KUSHARIYADI,Ilmu Keperawatan (S1)
YUNI RETNANINGTYAS,Farmasi (S1)
NUR AHMAD,Pendidikan  IPA (S1)
BAMBANG HERMIYANTO,Ilmu Tanah (S1)
ARIF,Ilmu Kesejahteraan Sosial (S1)
AMIN AJI BUDIMAN,Keperawatan (D3)
HESTIEYONINI HADNYANAWATI,Dokter Gigi (Profesi)
CANDRA BUMI,Ilmu Kesehatan Masyarakat (S2)
DEVI ARINE KUSUMAWARDANI,Kesehatan Masyarakat (S1)
SUSAN BARBARA PATRICIA SM,Ilmu Pertanian (S1)
IDA SRISURANI WIJI ASTUTI,Pendidikan Dokter (S1)
EVI UMAYAH ULFA,Farmasi (S1)
SITI AMINAH,Teknik Pertambangan (S1)
DINA HELIANTI,Pendidikan Dokter (S1)
AGUSTININGSIH,Pendidikan Guru Sekolah Dasar (S1)
FUAD HASAN,Pendidikan Luar Sekolah (S1)
ARDIYAN DWI MASAHID,Teknologi Hasil Pertanian (S1)
RENI KUSUMANINGPUTRI,Sastra Inggris (S1)
DINA DYAH KUSUMAYANTI,Sastra Inggris (S1)
AYIK ROSITA PUSPANINGTYAS,Farmasi (S1)
SAIFURRIDZAL,Teknik Sipil (S1)
RANDI PRATAMA MURTIKUSUMA,Pendidikan Matematika (S1)
BAMBANG ARIS KARTIKA,Televisi Dan Film (S1)
"HARRY SOEPANDI, S.KOM.,M.KOM.",Sistem Informasi (S1)
NI LUH AYU SUKMAWATI,Televisi Dan Film (S1)
DINI KURNIAWATI,Ners (Profesi)
ANIFATUL HANIM,Ekonomi Syariah (S1)
NAOMI DIAS LAKSITA DEWI,Pendidikan Guru Sekolah Dasar (S1)
AHMAD KAMSYAKAWUNI,Matematika (S1)
NUR WIDAYATI,Ilmu Keperawatan (S1)
BAIQ LILY HANDAYANI,Unknown
SUDARSIH,Manajemen (S1)
"DR. ERFAN EFENDI, SP.AN.",Dokter (Profesi)
TEGUH HADI PRIYONO,Ekonomi Pembangunan (S1)
HERLINA,Teknologi Hasil Pertanian (S1)
AGUS MAHARDIYANTO,Ekonomi Syariah (S1)
BEJO APRIYANTO,Pendidikan Geografi (S1)
KAHAR MUZAKHAR,Biologi (S2)
MULIA HAKAM,Ners (Profesi)
EMI WURI WURYANINGSIH,Ilmu Keperawatan (S1)
ZAHRATUL UMNIYYAH,Sastra Indonesia (S1)
M. ARIEF AMRULLAH,Ilmu Hukum (S3)
RESHA DWI AYU PANGESTI MULYONO,Akuntansi (S1)
KETUT ASWATAMA WISWAMITRA,Teknik Sipil (S2)
ANTONIUS CAHYA PRIHANDOKO,Informatika (S1)
MUCH. MISBAH MUHTADI,Agroteknologi (S1)
FUROIDATUL HUSNIAH,Pendidikan Bahasa Dan Sastra Indonesia (S1)
IGAM ARYA WADA,Ilmu Hukum (S1)
KRISNAMURTI,Teknik Sipil (S3)
R RAHARDYAN PARNAADJI,Dokter Gigi (Profesi)
SYAMSUL ANAM,Unknown
MUHAMMAD NURUL AMIN,Pendidikan Dokter Gigi (S1)
FAJAR AJI,Televisi Dan Film (S1)
BERLIAN PRIHATININGRUM,Pendidikan Dokter Gigi (S1)
BAMBANG SOEPENO,Pendidikan Ilmu Pengetahuan Sosial (S2)
HERY DIAR FEBRYANTO,Profesi Apoteker (Profesi)
WIDHI DYAH SAWITRI,Unknown
UMI CHOLIFAH,Ekonomi Syariah (S1)
EMA DESIA PRAJITIASARI,Manajemen Perusahaan (D3)
BUDI LESTARI,Unknown
FABROBI FAZLUR RIDHA,Rekayasa Perancangan Mekanik (D4)
MOHAMAD NAIM,Pendidikan Ilmu Pengetahuan Sosial (S2)
ERNO WIDAYANTO,Teknik Sipil (S2)
ANANG ANDRIANTO,Teknologi Informasi (S1)
JULIAN ADAM RIDJAL,Agribisnis (S1)
KARTIKA,Akuntansi (S1)
SRI REJEKI DWI ASTUTI,Pendidikan  IPA (S1)
DIANA HOLIDAH,Farmasi (S1)
ERFAN EFENDI,Dokter (Profesi)
LEERSIA YUSI RATNAWATI,Administrasi Kesehatan (S2)
IKA PUSPITA DEWI,Farmasi (S1)
RAGIL ISMI HARTANTI,Kesehatan Masyarakat (S1)
RINDANG ALFIAH,Perencanaan Wilayah dan Kota (S1)
ARIES HARIANTO,Kenotariatan (S2)
MEI SYAFRIADI,Pendidikan Dokter Gigi (S1)
MUHAMMAD HADI MAKMUR,Ilmu Administrasi Negara (S1)
RENA NORMASARI,Pendidikan Dokter (S1)
DWI NURTANTO,Teknologi Rekayasa Konstruksi Bangunan Gedung (D4)
SRI SUKMAWATI,Teknik Sipil (S1)
NUR FATWIKININGSIH,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
IMAM SHOLAHUDDIN,Rekayasa Perancangan Mekanik (D4)
ISA MA RUFI,Ilmu Kesehatan Masyarakat (S2)
NANIK YULIATI,Pendidikan Matematika (S2)
INES RATNI PRAVITASARI,Kesehatan Masyarakat (S1)
ALFI ARIF,Akuntansi (S2)
ABDUL AZIS AKBAR,Gizi (S1)
ARI TRI WANODYO HANDAYANI,Dokter Gigi (Profesi)
AHMAD SYUKRON,Pendidikan Bahasa Dan Sastra Indonesia (S1)
SURARTONO DWIATMOKO,Dokter Gigi (Profesi)
TANFIDZ ALISHLAH,Farmasi (S1)
MURTAQIB,Ilmu Keperawatan (S1)
DEWI PRIHATINI,Ilmu Manajemen (S3)
RETNO WINARNI,Unknown
NOER NOVIJANTO,Teknologi Industri Pertanian (S1)
HAPPY HARMONO,Pendidikan Dokter Gigi (S1)
AGUS SUPRIANTO,Fisika (S1)
ABDU ROHMAN,Pendidikan Biologi (S1)
RR DEWI JUNITA KOESOEMAWATI,Perencanaan Wilayah dan Kota (S1)
PRATAMA YULI ARIANTO,Teknik Konstruksi Perkapalan (S1)
ESTI UTARTI,Biologi (S1)
WARDATUS SHOLIHAH,Ners (Profesi)
MENTARI SEKAR ARUM,Teknologi Hasil Pertanian (S1)
YUSLINDA DWI HANDINI,Ilmu Administrasi (S2)
DHANAR DWI HARY JATMIKO,Pendidikan Matematika (S1)
USMADI,Agronomi (S1)
AJI SUKOCO,Teknologi Hasil Pertanian (S1)
SRI HERNAWATI,Dokter Gigi (Profesi)
MOEHAMMAD FATHORRAZI,Ilmu Ekonomi (S2)
NOVEN PRAMITASARI,Teknik Lingkungan (S1)
HADZIQUL ABROR,Teknik Perminyakan (S1)
BUDIPRATIWI WISUDYANINGSIH,Farmasi (S2)
IKE LUSI MEILINA,Pendidikan Fisika (S1)
RUDY JOELIJANTO,Dokter Gigi (Profesi)
NINDYA ALIFIA TITTANDI,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
MOH DLIYAUDDIN,Pendidikan Biologi (S1)
EDI WAHJUNI,Ilmu Hukum (S1)
HANDRIYONO,Manajemen (S2)
SOEKMA YENI ASTUTI,Televisi Dan Film (S1)
ABDUL MUHSYI,Administrasi Keuangan (D3)
SANTOSO MULYADI,Teknik Mesin (S1)
I KETUT MASTIKA,Ilmu Administrasi Niaga (S1)
TITIN AGUSTINA,Agribisnis (S1)
FAJAR DESTARI,Administrasi Keuangan (D3)
HETY MUSTIKA ANI,Pendidikan Ilmu Pengetahuan Sosial (S2)
FAHRUDI AHWAN IKHSAN,Pendidikan Geografi (S1)
SIWI TRI PURNANI,Pendidikan Bahasa Dan Sastra Indonesia (S1)
FIRDAUS UBAIDILLAH,Matematika (S2)
MUTHMAINNAH,Pendidikan Ekonomi (S1)
SUTARTO,Pendidikan Ilmu Pengetahuan Alam (S3)
LESTYO WULANDARI,Farmasi (S1)
ANNUR ROFIQ,Pendidikan Bahasa Inggris (S1)
ROEDY BUDIRAHARDJO,Dokter Gigi (Profesi)
ACHLISH ABDILLAH,Unknown
AHMAD RIFAI,Ilmu Keperawatan (S1)
MUKHAMMAD FAUZI,Teknologi Hasil Pertanian (S1)
FARIDA NUR QOMARIYAH,Ilmu Keperawatan (S1)
ERNA SULISTYANI,Dokter Gigi (Profesi)
TASLIMAN,Teknik Pertanian (S1)
ELLYKE,Kesehatan Masyarakat (S1)
HERNIYATI,Dokter Gigi (Profesi)
NIA KRISTININGRUM,Farmasi (S1)
ERNA CAHYAWATI,Sastra Inggris (S1)
MASADIB AKMAL VYANDRI,Ilmu Administrasi (S3)
ACHMAD MAUDUDIE,Teknologi Informasi (S1)
LUTFIASIH RAHMAWATI,Ners (Profesi)
SUYANI INDRIASTUTI,Ilmu Hubungan Internasional (S1)
SUDARKO,Penyuluhan Pertanian (S1)
SRI LESTARI,Dokter Gigi (Profesi)
ARSYZILMA HAKIIM,Pendidikan Dokter (S1)
NUR LATIFATUL QODRIYAH,Teknologi Hasil Pertanian (S1)
ISWI HARIYANI,Ilmu Hukum (S1)
FIRMAN FLORANTA ADONARA,Ilmu Hukum (S1)
FERRY BUDI PRASETYA,Pendidikan  IPA (S1)
RIRIS CHINTYA HELIENIASTUTI,Keperawatan (D3)
NURI,Farmasi (S2)
ELOK SRI UTAMI,Manajemen (S1)
IIN ELIANA TRIWAHYUNI,Dokter Gigi (Profesi)
LUTFI ARIEFIANTO,Pendidikan Luar Sekolah (S1)
MUHAMAD ARIEF HIDAYAT,Informatika (S1)
MOKHAMMAD FARID MARUF,Teknik Sipil (S3)
GUSTI AYU WULANDARI,Kesekretariatan (D3)
IKA FITRIANI,Pendidikan Bahasa Inggris (S1)
LENNY LUTHFIYAH,Penyuluhan Pertanian (S1)
MUHAMMAD ZAMRONI,Televisi Dan Film (S1)
AZHAM PURWANDHONO,Pendidikan Dokter (S1)
REZA AMBARWATI,Pendidikan Matematika (S1)
BUDHY SANTOSO,Ilmu Kesejahteraan Sosial (S1)
DWIRETNO ISTIYADI SWASONO,Teknologi Informasi (S1)
LUTHFI AMRI WICAKSONO,Teknik Sipil (S1)
PENI PERDANI JULININGRUM,Ilmu Keperawatan (S1)
PENI PERDANI JULININGRUM,Ilmu Keperawatan (S1)
FIDYASARI KUSUMA PUTRI,Profesi Insinyur (Profesi)
RAHAYU SRI PUJIATI,Kesehatan Masyarakat (S1)
MOCHAMMAD WILDAN JADMIKO,Peternakan (S1)
SUWARDIYANTO,Kimia (S2)
DEDDY SUPRAPTO,Televisi Dan Film (S1)
DINA TSALIST WILDANA,Ilmu Hukum (S1)
DWI WINDRADINI,Ilmu Administrasi Niaga (S1)
WINDI EKA YULIA RETNANI,Teknologi Informasi (S1)
GITA MAYA SARI,Keperawatan (D3)
NURUL DWI NOVIKARUMSARI,Penyuluhan Pertanian (S1)
MOH. BADRUS SHOLEH ARIF,Pendidikan Guru Sekolah Dasar (S1)
SONY SUWASONO,Teknologi Agroindustri (S2)
RIAN ADHIVIRA PRABOWO,Ilmu Hukum (S1)
AISA TRI AGUSTINI,Akuntansi (S1)
JOKO MULYONO,Sosiologi (S1)
SYLVA ALKORNIA,Pendidikan Luar Sekolah (S1)
JADNIKA DWI RAKHMAWAN AMRULLAH,Pendidikan  IPA (S1)
LUH PUTU INDAH BUDYAWATI,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
AMANDIA DEWI PERMANA SHITA,Dokter Gigi (Profesi)
YENNIKE TRI HERAWATI,Kesehatan Masyarakat (S1)
HUSNATUN NIHAYAH,Biologi (S1)
DEDI DWILAKSANA,Rekayasa Perancangan Mekanik (D4)
QURROTA A'YUNI AR RUHIMAT,Informatika (S1)
SENNY WEYARA DIENDA SAPUTRI,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
CIPLIS GEMA QORI AH,Ekonomi Pembangunan (S1)
VENDI EKO SUSILO,Pendidikan Biologi (S1)
NEIRA NAJATUS SAKINAH,Dokter Gigi (Profesi)
AHMAD ADIB ROSYADI,Rekayasa Perancangan Mekanik (D4)
RACHMAT HIDAYAT,Ilmu Administrasi (S2)
KOMANG YUNITA WIRYANING PUTRI,Dokter (Profesi)
EVA TYAS UTAMI,Biologi (S1)
MRR RATNA ENDANG WIDUATIE,Ilmu Sejarah (S1)
SUTARSI,Teknik Pertanian (S1)
RENI ALBERTIN PUTRI,Unknown
MUHAMMAD RIZA DARMAWAN,Teknik Elektro (S1)
SUKRON ROMADHONA,Ilmu Tanah (S1)
AHMAD AHSIN KUSUMA MAWARDI,Akuntansi (S1)
PRIMA RATNA SARI,Pendidikan Ekonomi (S1)
DEDY KURNIA SETIAWAN,Teknik Elektro (S1)
MOCHAMMAD EDOWARD RAMADHAN,Teknik Mesin (S1)
EDIA FITRI DWINIANTI,Biologi (S1)
DODIK HARNADI,Sosiologi (S1)
NUGRAHA WAHYU CAHYANA,Dokter (Profesi)
SALMA FAUZIYYAH,Manajemen Perusahaan (D3)
DEWI SALINDRI,Ilmu Sejarah (S1)
SONYA HAYU INDRASWARI,Gizi (S1)
FACHRI ZULFIKAR,Pendidikan Sejarah (S1)
AGUS LUTHFI,Ekonomi Pembangunan (S1)
IMAM BASUKI,Sastra Inggris (S1)
ADIN NOVITASARI,Agroteknologi (S1)
SELVI ARIYUNITA,Pendidikan Biologi (S1)
EKA RURIANI,Teknologi Industri Pertanian (S1)
AHMAD SYUHRI,Teknik Mesin (S1)
Donatus Setyawan Purwo Handoko,Kimia (S1)
MUHAMMAD TAUFIQ,Teknik Pertanian (S1)
CANTIKA ALMAS FILDZAH,Teknik Lingkungan (S1)
ANA SUSIATI,Pendidikan Geografi (S1)
HARI KARYADI,Ilmu Administrasi Niaga (S1)
ARIS ZAINUL MUTTAQIN,Teknik Mesin (S1)
RATRI SEKARINGGALIH,Teknik Kimia (S1)
WIDYONO HADI,Teknik Elektro (S1)
ASNAWATI,Kimia (S1)
NANIK ISTIYANI,Ekonomi Pembangunan (S1)
ANA ISLAMIYAH SYAMILA,Kesehatan Masyarakat (S1)
SUPRIHADI PRASETYONO,Teknik Elektro (S1)
IRMADATUS SHOLEKHAH,Pendidikan Ekonomi (S1)
SRI YUNIATI,Ilmu Hubungan Internasional (S1)
NUZULUL HIKMAH,Pendidikan Dokter Gigi (S1)
BUDI SUYANTO,Sastra Indonesia (S1)
DESIE DWI WISUDANTI,Pendidikan Dokter (S1)
HERY INDRIA DWI PUSPITA,Teknik Konstruksi Perkapalan (S1)
HERU ERNANDA,Profesi Insinyur (Profesi)
BUSRONI,Unknown
SONYA HAKIM RAHARJO,Teknik Kimia (S1)
R.A RINI ANGGRAINI,Ilmu Hukum (S1)
MUHLISIN,Ilmu Hukum (S1)
HERMANTO ROHMAN,Ilmu Administrasi Negara (S1)
DWI NURAHMANTO,Profesi Apoteker (Profesi)
TATOK ENDHIARTO,Manajemen (S1)
GUIDO DIAS KALANDRO,Teknik Elektro (S1)
RIFANI RUSIANA DEWI,Proteksi Tanaman (S1)
WURYANTI HANDAYANI,Kimia (S1)
LELIANA SANDRA DEVIADE PUTRI,Dokter Gigi (Profesi)
BERTUNG SURYADHARMA,Teknologi Industri Pertanian (S1)
JOKO WIDODO,Pendidikan Ekonomi (S1)
YUSUF RACHMANDHIKA,Agroteknologi (S1)
SYAFINA PUSPARANI,Agroteknologi (S1)
BAMBANG MARHAENANTO,Teknik Pertanian (S1)
HENDRAWAN SANTOSA PUTRA,Akuntansi (S2)
