Nama,Program Studi
LILIS YULIATI,Ilmu Ekonomi (S2)
ENGGAL HADI KURNIYAWAN,Ilmu Keperawatan (S1)
NIKEN ASIH LARAS ATI,Ilmu Keperawatan (S1)
DIDIK SUGENG PAMBUDI,Pendidikan Matematika (S2)
GUSFAN HALIK,Teknik Sipil (S3)
ERFAN YUDIANTO,Pendidikan Matematika (S3)
JOJOK WIDODO SOETJIPTO,Teknik Sipil (S3)
ADISTHA EKA NOVEYANI,Kesehatan Masyarakat (S1)
ARTOTO ARKUNDATO,Fisika (S2)
HONEST DODY MOLASY,Ilmu Hubungan Internasional (S1)
SUDARYANTO,Manajemen (S1)
NILASARI DEWI,Agroteknologi (S1)
ILLIA SELDON MAGFIROH,Agribisnis (S1)
SUHARI,Keperawatan (D3)
DIDIK PUDJI RESTANTO,Agronomi (S1)
DESY CAHYA WIDIANINGRUM,Peternakan (S1)
"DRS. SUPRANOTO, M.SI.",Ilmu Administrasi (S3)
JOKO WALUYO,Pendidikan Ilmu Pengetahuan Alam (S3)
AMIYATUN NAINI,Dokter Gigi (Profesi)
AGUSTIN WULAN SUCI D.,Pendidikan Dokter Gigi (S1)
DOMINIKUS RATO,Ilmu Hukum (S2)
TRI MULYONO,Kimia (S1)
MUHAMMAD HILMI AFTHONI,Farmasi (S1)
MOKH. SUJARWADI,Keperawatan (Kampus Kota Pasuruan) (D3)
ANCAH CAESARINA NOVI M,Pendidikan Dokter (S1)
WAHYU MULDAYANI,Teknologi Rekayasa Elektronika (D4)
TRI AGUS SISWOYO,Bioteknologi (S3)
WAGIYANA,Proteksi Tanaman (S1)
FIRDHA YUSMAR,Pendidikan  IPA (S1)
RENDY SETIAWAN,Biologi (S1)
MARGA MANDALA,Ilmu Pertanian (S3)
LAILATUL NURAINI,Pendidikan Fisika (S1)
IRA RAHMAWATI,Ners (Profesi)
DINA SURYAWATI,Ilmu Administrasi Negara (S1)
CHUMI ZAHROUL FITRIYAH,Pendidikan Guru Sekolah Dasar (S1)
SRI HARTATIK,Agronomi (S2)
PURNAMIE TITISARI,Ilmu Manajemen (S3)
KURNIA ARDIANSYAH AKBAR,Kesehatan Masyarakat (S1)
Retno Utami Agung Wiyono,Teknik Sipil (S2)
IDA BAGUS SURYANINGRAT,Teknologi Agroindustri (S2)
MOH. ADENAN,Ilmu Ekonomi (S3)
BEKTI PALUPI,Teknik Kimia (S1)
FARIDA WAHYU NINGTYIAS,Kesehatan Masyarakat (S3)
NAWIYANTO,Ilmu Sejarah (S1)
RURIS HARISTIANI,Ilmu Keperawatan (S1)
BAYU APRILLIANTO,Akuntansi (S1)
AYU DEWI NASTITI,Keperawatan (Kampus Kota Pasuruan) (D3)
DAVID IMAMYARTHA,Pendidikan Bahasa Inggris (S1)
ELIDA NOVITA,Pengelolaan Sumberdaya Air Pertanian (S2)
FAHMI ARIF KURNIANTO,Pendidikan Geografi (S1)
KACUNG HARIYONO,Agronomi (S2)
NELLY OKTAVIA ADIWIJAYA,Informatika (S1)
GAMMA ADITYA RAHARDI,Teknologi Rekayasa Elektronika (D4)
ANDI EKO WIYONO,Teknologi Industri Pertanian (S1)
FIRDHA KUSUMA AYU ANGGRAENI,Pendidikan Fisika (S1)
TANTIN ERMAWATI,Pendidikan Dokter Gigi (S1)
HADI PRAYITNO,Ilmu Administrasi (S3)
ANTONIUS NUGRAHA WIDHI PRATAMA,Farmasi (S1)
IKA BAROKAH SURYANINGSIH,Manajemen (S1)
SRI WAHYUNINGSIH,Keperawatan (D3)
SUCI RISTIYANA,Agroteknologi (S1)
MOHAMMAD ZEQI YASIN,Ekonomi Pembangunan (S1)
WINDA AMILIA,Teknologi Industri Pertanian (S1)
NURUL HAYATI,Keperawatan (D3)
EDY WIHARDJO,Pendidikan Matematika (S1)
ABUBAKAR EBY HARA,Ilmu Hubungan Internasional (S1)
LINDA DWI ERIYANTI,Ilmu Hubungan Internasional (S1)
IKA PURNAMASARI,Agroteknologi (S1)
SUNDAHRI,Agronomi (S1)
IIS RAHMAWATI,Keperawatan (S2)
DIEN VIDIA ROSA,Sosiologi (S1)
KRISTIAN SUHARTADI WIDI NUGRAHA,Kesekretariatan (D3)
SURYONO,Dokter (Profesi)
SUKARNO,Sastra Inggris (S1)
ABUL HARIS SURYO NEGORO,Ilmu Administrasi Negara (S1)
"DR. DJAYUS, S.H, M.HUM",Unknown
WIWIK YUNARNI WIDIARTI,Teknik Sipil (S1)
IDAH ANDRIYANI,Pengelolaan Sumberdaya Air Pertanian (S2)
ALI RIZAL CHAIDIR,Teknik Elektro (S1)
SHOLEH AVIVI,Agronomi (S2)
DWI INDARTI,Kimia (S1)
GLOBILA NURIKA,Kesehatan Masyarakat (S1)
ERMA SULISTYANINGSIH,Pendidikan Dokter (S1)
FIRDHA APRILLIA WARDHANI,Profesi Apoteker (Profesi)
Y A TRIANA OHOIWUTUN,Kenotariatan (S2)
ZAHRENI HAMZAH,Pendidikan Dokter Gigi (S1)
YENI FITRIA,Ilmu Keperawatan (S1)
ANISAH ARDIANA,Keperawatan (S2)
ATIK KURNIAWATI,Pendidikan Dokter Gigi (S1)
APRIANA RAHMAWATI,Keperawatan (D3)
YUNITA ARMIYANTI,Pendidikan Dokter (S1)
MUHAMMAD NUR KHOZIN,Agronomi (S1)
SIGIT SOEPARJONO,Agronomi (S2)
TRI ASTARI,Pendidikan Guru Sekolah Dasar (S1)
GALIH WICAKSONO,Perpajakan (D3)
AHMAD ROZIQ,Ilmu Akuntansi (S3)
LAILI NUR AZIZAH,Keperawatan (D3)
YUSHARDI,Pendidikan Geografi (S1)
MUKHAMMAD TOHA,Keperawatan (Kampus Kota Pasuruan) (D3)
YULI WITONO,Teknologi Agroindustri (S2)
MUHAMMAD REZA,Kimia (S2)
RETNO PURWANDARI,Ilmu Keperawatan (S1)
VIVI FITRIANI,Ilmu Tanah (S1)
ATI KUSMIATI,Agribisnis (S1)
DWI OCHTA PEBRIYANTI,Keperawatan (D3)
LIRISTA DYAH AYU OKTAFIANI,Gizi (S1)
DWI SETYATI,Biologi (S1)
SUHARTO,Ilmu Pertanian (S3)
PRIMASARI MAHARDHIKA RAHMAWATI,Keperawatan (D3)
KARTIKA SENJARINI,Biologi (S2)
YANUAR NURDIANSYAH,Teknologi Informasi (S1)
I GEDE WIDHIANA SUARDA,Ilmu Hukum (S2)
HAERUDDIN,Teknik Pertambangan (S1)
DODI SETIABUDI,Teknik Elektro (S1)
ENDAH PUSPITASARI,Farmasi (S1)
MUHAMMAD IRFAN HILMI,Pendidikan Luar Sekolah (S1)
IWAN WICAKSONO,Pendidikan Dasar (S2)
ABI SUWITO,Pendidikan Matematika (S2)
PRASETYO ADI NUGROHO,Pendidikan Guru Sekolah Dasar (S1)
SLAMETO,Agronomi (S1)
MUSVIRO,Keperawatan (D3)
ZUHRIAH MUMTAZAH,Teknik Kimia (S1)
YANI CORVIANINDYA RAHAYU,Pendidikan Dokter Gigi (S1)
ARIS SINGGIH BUDIARSO,Pendidikan Guru Sekolah Dasar (S1)
IKA RAHMAWATI SUTEJO,Pendidikan Dokter (S1)
GRAMANDHA WEGA INTYANTO,Teknik Elektro (S1)
SETYA WIDYAWAN PRAKOSA,Teknik Elektro (S2)
ARIZAL MUJIBTAMALA NANDA IMRON,Teknologi Rekayasa Elektronika (D4)
REGINA NIKEN WILANTARI,Ekonomi Pembangunan (S1)
SUS EKO ZUHRI ERNADA,Ilmu Hubungan Internasional (S1)
NURUD DINIYAH,Teknologi Hasil Pertanian (S1)
SUTISNA,Fisika (S1)
YUNI HERMAWAN,Teknik Mesin (S1)
KISWARA AGUNG SANTOSO,Matematika (S1)
TRAPSILO PRIHANDONO,Pendidikan Profesi Guru (Profesi)
MUKHAMAD SU'UDI,Biologi (S1)
LATIFATUL IZZAH,Ilmu Sejarah (S1)
KUSNADI,Sastra Indonesia (S1)
TRI HANDOYO,Agronomi (S2)
FERDIANSYAH PUTRA MANGGALA,Ilmu Hukum (S1)
AGUS TRIONO,Teknik Mesin (S2)
WILDAN MUHLISON,Agroteknologi (S1)
JAYUS,Bioteknologi (S2)
JEKTI PRIHATIN,Pendidikan Ilmu Pengetahuan Alam (S2)
ELAN ARTONO NURDIN,Pendidikan Geografi (S1)
ROSITA DEWI,Pendidikan Dokter (S1)
SUKIDIN,Pendidikan Ilmu Pengetahuan Sosial (S2)
MOCHAMMAD SHULTHONI,Akuntansi (D3)
MARIA BELGIS,Teknologi Hasil Pertanian (S1)
ARISTA MAISYAROH,Keperawatan (D3)
IIS NUR ASYIAH,Pendidikan Biologi (S2)
DYAH AYU SAVITRI,Ilmu Pertanian (S1)
SLAMET HARIYADI,Pendidikan Biologi (S2)
DIMAS HADI PRAYOGA,Keperawatan (D3)
AKHMAD ZAINUR RIDLA,Ilmu Keperawatan (S1)
SIGIT PRASTOWO,Proteksi Tanaman (S1)
INDRIANA NOOR ISTIQOMAH,Keperawatan (D3)
EKO PRASETYA WIDIANTO,Keperawatan (Kampus Kota Pasuruan) (D3)
FAJAR SURYA HUTAMA,Pendidikan Guru Sekolah Dasar (S1)
DWINING HANDAYANI,Keperawatan (Kampus Kota Pasuruan) (D3)
HARDIAN SUSILO ADDY,Bioteknologi (S2)
MUHAMMAD ASYROFUL MUJIB,Pendidikan Geografi (S1)
SELFI BUDI HELPIASTUTI,Ilmu Administrasi (S2)
ARYO PRAKOSO,Perpajakan (D3)
WAHYU DINI CANDRA SUSILA,Ners (Profesi)
MUHAMMAD 'ARIFUL FURQON,Informatika (S1)
SRI WAHYUNINGSIH,Teknik Pertanian (S1)
NINNA ROHMAWATI,Kesehatan Masyarakat (S1)
DEDY WAHYU HERDIYANTO,Teknik Elektro (S1)
INDAH YULIA NINGSIH,Farmasi (S1)
INDAH IBANAH,Agribisnis (S1)
NITA KUSWARDHANI,Teknologi Agroindustri (S2)
ANITA DEWI MOELYANINGRUM,Kesehatan Masyarakat (S1)
OKTAVIANI ARI WARDHANINGRUM,Akuntansi (S1)
MOHAMMAD RONDHI,Agribisnis (S2)
TIO DHARMAWAN,Informatika (S1)
YAGUS WIJAYANTO,Agroteknologi (S1)
AMAM,Peternakan (S1)
AKHMAD TAUFIQ,Pendidikan Bahasa Dan Sastra Indonesia (S1)
SRI SUBEKTI,Agribisnis (S2)
HERMAN CAHYO DIARTHO,Ekonomi Pembangunan (S1)
A AN EFENDI,Ilmu Hukum (S2)
BASKORO SETIOPUTRO,Ners (Profesi)
AGUNG BUDI SULISTIYO,Akuntansi (S2)
DWI ERWIN KUSBIANTO,Ilmu Pertanian (S1)
HARI ARBIANTARA BASUKI,Rekayasa Perancangan Mekanik (D4)
SITI MASRIFATUL FITRIYAH,Pendidikan Bahasa Inggris (S2)
ZAKARIA SANDY PAMUNGKAS,Pendidikan  IPA (S1)
BRIAN RIZQI PARADISIACA DARNOTO,Informatika (S1)
AL KHANIF,Ilmu Hukum (S2)
NADIE FATIMATUZZAHRO,Pendidikan Dokter Gigi (S1)
DITTA KHARISMA YOLANDA PUTRI,Teknik Kimia (S1)
ELLY NURUS SAKINAH,Pendidikan Dokter (S1)
RUSDIANTO,Pendidikan  IPA (S1)
DIDIN ERMA INDAHYANI,Pendidikan Dokter Gigi (S1)
HAMIDAH RETNO WARDANI,Pendidikan Dokter (S1)
BAMBANG SUJANARKO,Teknik Elektro (S2)
ERA ISWARA PANGASTUTI,Pendidikan Geografi (S1)
IKEN NAFIKADINI,Kesehatan Masyarakat (S1)
AGUS TRIHARTONO,Ilmu Hubungan Internasional (S1)
FACHRUZZAKI,Teknik Pertambangan (S1)
WACHJU SUBCHAN,Pendidikan Biologi (S1)
INTAN RIA NELIANA,Teknologi Hasil Pertanian (S1)
LINA WINARTI,Farmasi (S2)
PURNANING DHIAN ISNAENI,Peternakan (S1)
NADYATUL ILMA INDAH SAVIRA,Pendidikan Biologi (S1)
RIZKI PUTRI WARDANI,Pendidikan Guru Sekolah Dasar (S1)
INTAN HARDIATAMA,Teknik Mesin (S1)
HASBI MUBARAK SUUD,Ilmu Pertanian (S1)
FRANSISKA MARIA CHRISTIANTY,Farmasi (S1)
YOGA YOLANDA,Pendidikan Bahasa Dan Sastra Indonesia (S1)
META FITRI RIZKIANA,Teknik Kimia (S1)
ZAHARA MEILAWATY,Pendidikan Dokter Gigi (S1)
RACHMI MASNILAH,Proteksi Tanaman (S1)
ZAINAL ABIDIN,Keperawatan (D3)
FENDI SETYAWAN,Ilmu Hukum (S3)
LUH PUTU SUCIATI,Pengelolaan Sumberdaya Air Pertanian (S2)
WAHYU NURKHOLIS HADI SYAHPUTRA,Agroteknologi (S1)
DEPI PRAHARANI,Dokter Gigi (Profesi)
ASMORO LELONO,Biologi (S1)
ANGGIA ASTUTI,Keperawatan (D3)
IMAM MUDAKIR,Pendidikan Ilmu Pengetahuan Alam (S3)
HENI FATMAWATI,Dokter (Profesi)
KHOIRON,Kesehatan Masyarakat (S1)
RIZKIYANI ISTIFADA,Ners (Profesi)
MIKHANIA CHRISTININGTYAS E.,Farmasi (S2)
RESTIANI SIH HARSANTI,Agronomi (S1)
SALAHUDDIN JUNUS,Teknik Mesin (S2)
PUSPITA SARI,Teknologi Hasil Pertanian (S1)
ENDHAH PURWANDARI,Fisika (S1)
INDRA NURTJAHJANINGTYAS,Teknologi Rekayasa Konstruksi Bangunan Gedung (D4)
EKA AFDI SEPTIYONO,Ilmu Keperawatan (S1)
DANANG YUDISTIRO,Teknik Mesin (S1)
FAHMI RAMADHAN FIRDAUS,Ilmu Hukum (S1)
TAUFIK KURROHMAN,Akuntansi (S2)
BAKHROINI HABRIANTONO,Proteksi Tanaman (S1)
YULIA KURNIAWATI,Ilmu Keperawatan (S1)
WENNY MAULINA,Fisika (S1)
FRENZA FAIRUZ FIRMANSYAH,Pendidikan Matematika (S2)
L DYAH PURWITA WARDANI S W W,Sastra Inggris (S1)
YUDHA ALIF AULIYA,Teknologi Informasi (S1)
INTAN NURUL AWWALIYAH,Manajemen (S2)
ANDRITA CERIANA ESKA,Teknik Elektro (S1)
SISWOYO SOEKARNO,Teknik Pertanian (S1)
PANDU SATRIYA HUTAMA,Usaha Perjalanan Wisata (D3)
ENDAH KURNIA LESTARI,Ilmu Ekonomi (S2)
SRI HANDONO BP,Unknown
I NYOMAN SEMITA,Dokter (Profesi)
BELGIS HAYYINATUN NUFUS,Ilmu Kesejahteraan Sosial (S1)
RINA SUTJIATI,Dokter Gigi (Profesi)
