Nama,Program Studi
ELY RAHMATIKA NUGRAHANI,Ilmu Keperawatan (S1)
M. IWAN WAHYUDI,Agroteknologi (S1)
MIFTAHUL HASANAH,Ekonomi Syariah (S1)
DINA MERDEKA CITRANINGRUM,Pendidikan Bahasa Dan Sastra Indonesia (S1)
JEKTI RAHAYU,Manajemen (S1)
SOFIA RHOSMA DEWI,Ilmu Keperawatan (S1)
LUH TITI HANDAYANI,Ilmu Keperawatan (S1)
ANGRAENY UNEDIA RACHMAN,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
SYAH RIZA OCTAVY SANDY,Pengelolaan Usaha Rekreasi (D4)
DIAN RATNA ELMAGHFUROH,Keperawatan (D3)
TATIT DIANSARI RESKIPUTRI,Manajemen (S1)
YULINARTATI,Akuntansi (S1)
MOKH. HAIRUL BAHRI,Teknik Mesin (S1)
ROHIMATUSH SHOFIYAH,Teknik Kimia (S1)
TOTOK DWI KURYANTO,Teknik Sipil (S1)
IID MUFAIDAH,Unknown
ICHA CAHYANING FITRI,Ilmu Hukum (S1)
IRAWATI,Teknik Sipil (S1)
NUR QODARIYAH FITRIYAH,Teknik Informatika (S1)
ROHMAD WAHID RHOMDANI,Pendidikan Matematika (S1)
SRI WAHYUNI A,Ilmu Keperawatan (S1)
DZARNA,Pendidikan Bahasa Dan Sastra Indonesia (S1)
SUDAHRI,Ilmu Komunikasi (S1)
ROFI BUDI HAMDUWIBAWA,Teknik Sipil (S1)
SAIPUL WAKIT,Ilmu Keperawatan (S1)
ILANKA CAHYA DEWI,Teknik Sipil (S1)
ARI SITA NASTITI,Akuntansi (S1)
CHUSNUL KHOTIMAH GALATEA,Pendidikan Matematika (S1)
NURHALIM,Teknik Mesin (S1)
YUNITA REYKASARI,Ilmu Hukum (S1)
LUTHFI ALI MUHAROM,Teknik Informatika (S1)
SITI KHAYISATUZAHRO NUR,Ekonomi Syariah (S1)
INDAH RAKHMAWATI AFRIDA,Pendidikan Biologi (S1)
AHMAD BAHRIYANTO,Pendidikan Jasmani (S1)
YENI DWI RAHAYU,Teknik Informatika (S1)
RIZKI APRILIYANTO,Pendidikan Jasmani (S1)
HANA PUSPITA EKA FIRDAUS,Pendidikan Guru Sekolah Dasar (S1)
AJI BRAHMA NUGROHO,Teknik Elektro (S1)
ASTRID MAHARANI,Akuntansi (S1)
RUSDIYANTO,Manajemen (S1)
MUHAMMAD SYAFI'I,Ekonomi Syariah (S1)
DHIAN WAHANA PUTRA,Pendidikan Agama Islam (S1)
MOHAMAD AFRIZAL,Pendidikan Bahasa Dan Sastra Indonesia (S1)
DEWI LUSIANA,Sistem Informasi (S1)
NURUL IMAMAH AH,Pendidikan Matematika (S1)
ZUHROTUL EKA YULIS ANGGRAENI,Ilmu Keperawatan (S1)
LINTANG SETYO KURNIAWATI,Teknik Informatika (S1)
WENNY MURTALINING TYAS,Manajemen (S1)
NOVY EURIKA,Pendidikan Biologi (S1)
AKHMAD SUHARTO,Manajemen (S1)
MOH. DASUKI,Teknik Informatika (S1)
SULISTIO ADIWINARTO,Ilmu Hukum (S1)
LATIFA MIRZATIKA AL-ROSYID,Teknik Lingkungan (S1)
AYU QUROTA A'YUN,Teknik Kimia (S1)
IKA PRIANTARI,Pendidikan Biologi (S1)
HADI JATMIKO,Perhotelan (D3)
MAD ZAINI,Keperawatan (D3)
AYESIE NATASA ZULKA,Ilmu Keperawatan (S1)
ARI SUSANTI,Ilmu Komunikasi (S1)
TAUFAN ABADI,Teknik Sipil (S1)
FAOZEN,Pengelolaan Usaha Rekreasi (D4)
IIN ERVINA,Psikologi (S1)
AGUS PRASETYO UTOMO,Pendidikan Biologi (S1)
DHOFIR CATUR BASHORI,Ekonomi Syariah (S1)
ADHITYA SURYA MANGGALA,Teknik Sipil (S1)
ROSITA YANUARTI,Teknik Informatika (S1)
FITROTUL MUFARIDAH,Pendidikan Bahasa Inggris (S1)
AHMAD IZZUDDIN,Manajemen (S1)
NURUL FATHIYAH FAUZI,Agribisnis (S1)
ISWAHYUDI,Teknik Elektro (S1)
BAHTIAR HARI HARDOVI,Pendidikan Jasmani (S1)
RISA MARTHA MULIASARI,Agribisnis (S1)
DARYANTO,Teknik Informatika (S1)
YENI SURYANINGSIH,Ilmu Keperawatan (S1)
ISTIKOMAH,Ekonomi Syariah (S1)
BEJO SUROSO,Agroteknologi (S1)
MUSAROFA,Teknik Lingkungan (S1)
Achmad Syahfrudin Zulkarnnaeni,Akuntansi (S1)
IRA PUSPITADEWI SAMSURYANINGRUM,Manajemen (S1)
HIDAYAH MURTIYANINGSIH,Agroteknologi (S1)
YAYAH IKHDA NEVIA,Manajemen (S1)
GARDINA AULIN NUHA,Akuntansi (S1)
SEPTY HOLISA UMAMY,Manajemen (S1)
SETYO PAMBUDI,Unknown
NURSAIDAH,Manajemen (S1)
YENI MARDIYANA DEVANTI,Pendidikan Bahasa Inggris (S1)
QURROTA AYUN,Teknik Informatika (S1)
LUTFIAN UBAIDILLAH,Ilmu Hukum (S1)
PUTRI ROBIATUL ADAWIYAH,Ilmu Pemerintahan (S1)
WAHYU EKO SETIANINGSIH,Manajemen (S1)
SUTIKNO,Teknik Elektro (S1)
HABIBATUL AZIZAH AL FARUQ,Teknik Informatika (S1)
"AFAF ACHMAD SYAHAB, M.PD.",Pendidikan Jasmani (S1)
TAUFIQ TIMUR WARISAJI,Teknik Informatika (S1)
HENNY WAHYU SULISTYO,Teknik Informatika (S1)
RETNO MURWANTI,Agribisnis (S1)
BAGUS TRIPAMA,Agroteknologi (S1)
WAHJU DYAH LAKSMI WARDHANI,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
EDHI SISWANTO,Ilmu Pemerintahan (S1)
FINA ROSALINA,Ilmu Hukum (S1)
RIA WIYATFI LINSIYA,Psikologi (S1)
YUVITA DIAN SISWANTI,Teknik Lingkungan (S1)
YOGA DWI WINDY KUSUMA NINGTYAS,Pendidikan Matematika (S1)
SITI KHOLIFAH,Ilmu Keperawatan (S1)
SAPTYA PRAWITASARI,Agribisnis (S1)
WIWIT WIDIARTI,Agroteknologi (S1)
WIWIT WIDIARTI,Agroteknologi (S1)
WIDYA OKTARINI,Pendidikan Bahasa Inggris (S1)
HANAFI,Pendidikan Bahasa Inggris (S1)
HENRI FATKUROCHMAN,Pendidikan Bahasa Inggris (S1)
KRISTI NURAINI,Pendidikan Bahasa Inggris (S1)
MUH IMAN,Ilmu Hukum (S1)
DIMAS HERLIANDIS SHODIQIN,Ekonomi Syariah (S1)
NANDA KURNIA WARDATI,Sistem Informasi (S1)
ANGGRAENI SWASTIKA SARI,Psikologi (S1)
AKBAR MAULANA,Ilmu Pemerintahan (S1)
AKBAR MAULANA,Ilmu Pemerintahan (S1)
JANUARIYA LAILI,Psikologi (S1)
CRISTIAN RIZQI ANGGRAINI,Manajemen (S1)
AKHMAD MAIMUN,Ilmu Hukum (S1)
INSAN WIJAYA,Agroteknologi (S1)
OKTARINA,Agroteknologi (S1)
NURLAELA WIDYARINI,Psikologi (S1)
GURUH WIJAYA,Teknik Informatika (S1)
SYAHRUL MUBAROQ,Pendidikan Bahasa Dan Sastra Indonesia (S1)
ELOK FITRIYA,Unknown
IFFAN GALLANT EL MUHAMMADY,Ilmu Pemerintahan (S1)
MAULANA ARIF MUHIBBIN,Psikologi (S1)
SITI NUR'AINI,Psikologi (S1)
Baktiwan Nusanto,Ilmu Pemerintahan (S1)
SASMIYANTO,Profesi Ners (Profesi)
JUHANDA,Pengelolaan Usaha Rekreasi (D4)
DANAN SATRIYO WIBOWO,Psikologi (S1)
NOOR SALIM,Teknik Sipil (S1)
KUKUH PRIBADI,Ilmu Komunikasi (S1)
M. NAELY AZHAD,Akuntansi (S1)
GINANJAR SASMITO ADI,Profesi Ners (Profesi)
HASNA' HUWAIDA,Keperawatan (D3)
HUDAINI HASBI,Agroteknologi (S1)
PUJO PRIJONO,Teknik Sipil (S1)
ITOK WICAKSONO,Ilmu Pemerintahan (S1)
SUYONO,Ilmu Komunikasi (S1)
MOHAMMAD ALI HAMID,Ilmu Keperawatan (S1)
ASTI BHAWIKA ADWITIYA,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
SENO SUMOWO,Akuntansi (S1)
AKHMAD FAHRUR ROZI,Unknown
MUHAMMAD NAELY AZHAD,Akuntansi (S1)
LAILIYA NUR ROKHMAN,Ilmu Komunikasi (S1)
DWIMAY FAWZY,Ilmu Komunikasi (S1)
FIESTA YUMPI RAHMANAWATI,Psikologi (S1)
SAWITRI KOMARAYANTI,Unknown
YUSRIL IZZI ARLISA AMIRI,Sistem Informasi (S1)
AYU RETSI LESTARI,Manajemen (S1)
AGENG SOEHARNO,Ilmu Komunikasi (S1)
ARIS YUNI PAWESTRI,Ilmu Hukum (S1)
LULUK HANDAYANI,Teknik Industri (S1)
BUDI SATRIA BAKTI,Manajemen Informatika (D3)
KAHAR HAERAH,Ilmu Pemerintahan (S1)
DHANAR DWI HARY JATMIKO,Unknown
PANCA KURSISTIN HANDAYANI,Psikologi (S1)
PIO TIFAR ANANDA,Unknown
ALFIEN YOESRA,Ilmu Keperawatan (S1)
LARAS SEKAR ARUM,Agroteknologi (S1)
BINARIDHA KUSUMA NINGTYAS,Ilmu Pemerintahan (S1)
YUSRON ROZZAID,Unknown
NINA MARTIANA,Akuntansi (S1)
PRAMUKHTIKO SURYOKENCONO,Ilmu Hukum (S1)
MEGA LAZUARDI UMAR,Unknown
MOCHAMAD ALFAN,Pendidikan Bahasa Dan Sastra Indonesia (S1)
ATOK AINUR RIDHO,Agribisnis (S1)
ROFIATUL HIMA,Unknown
NI'MATUR ROHMAH,Unknown
AFAN BAGUS MANANDA,Teknologi Industri Pertanian (S1)
SYARIF HIDAYATULLAH,Teknik Informatika (S1)
AZWAR ANNAS,Unknown
NURAINI KUSUMANINGTYAS,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
KUNI HIKMAH HIDAYATI,Pendidikan Bahasa Inggris (S1)
BAGUS INDRA TJAYADHI,Perhotelan (D3)
HERY BAMBANG CAHYONO,Ilmu Komunikasi (S1)
YANNY TUHARYATI,Ilmu Hukum (S1)
KOMARUDIN,Profesi Ners (Profesi)
MOCHAMMAD HATIP,Pendidikan Profesi Guru (Profesi)
AHMAD NUR MAHFUDA,Manajemen (S1)
M HAMDI HS,Ilmu Pemerintahan (S1)
JIMI AMIJAYA,Teknik Sipil (S1)
FITRIANA PUTRI,Unknown
FITRIANA PUTRI,Unknown
ABD. ROHMAN FAHRUDDIN,Unknown
AMARA DIVA ABIGAIL,Ilmu Hukum (S1)
ANAM FADLILLAH,Pendidikan Bahasa Inggris (S1)
DODIK ARIS SETIAWAN,Teknik Industri (S1)
SAIBAH,Unknown
SRI KANTINA,Unknown
IMAMA NURUS IZAATI,Unknown
