Nama,Program Studi
RETNO SARI MAHANANI,Manajemen Agribisnis (D3)
SATRIA BUDI KUSUMA,Produksi Ternak (D3)
DEMIAWAN RACHMATTA PUTRO MUDIONO,Manajemen Informasi Kesehatan (D4)
FITRI KRISMIRATSIH,Manajemen Agribisnis (Kampus Kab. Nganjuk) (D3)
MUHAMMAD YUNUS,Manajemen Informasi Kesehatan (D4)
IMAM ABRORI,Bisnis Digital (D4)
RINDA NURUL KARIMAH,Promosi Kesehatan (D4)
CHRISTA DYAH UTAMI,Teknologi Produksi Tanaman Pangan (D4)
ALEX TAUFIQURROHMAN ZAIN,Mesin Otomotif (D4)
ULFA EMI RAHMAWATI,Teknik Informatika (Kampus Kab Nganjuk) (D4)
ANNI NURAISYAH,Budidaya Tanaman Perkebunan (D4)
ELLY KURNIAWATI,Teknologi Rekayasa Pangan (D4)
EFRI TRI ARDIANTO,Manajemen Informasi Kesehatan (D4)
SYAMSIAR KAUTSAR,Teknologi Rekayasa Mekatronika (D4)
WENDY TRIADJI NUGROHO,Mesin Otomotif (D4)
SAIFUL ANWAR,Teknik Energi Terbarukan (D4)
ANDARULA GALUSHASTI,Teknologi Produksi Tanaman Pangan (D4)
THEO MAHISETA SYAHNIAR,Produksi Ternak (D3)
GAMASIANO ALFIANSYAH,Manajemen Informasi Kesehatan (D4)
RAHMAT DHANDY,Manajemen Agroindustri (Kampus Kab Sidoarjo) (D4)
HERMAWAN ARIEF PUTRANTO,Teknik Informatika (D4)
NURUL ZAINAL FANANI,Teknologi Rekayasa Mekatronika (D4)
ERNA SELVIYANTI,Manajemen Informasi Kesehatan (D4)
AJI SETO ARIFIANTO,Teknik Informatika (D4)
SEPTINE BRILLYANTINA,Manajemen Agroindustri (Kampus Kab Sidoarjo) (D4)
BUDI UTOMO,Produksi Ternak (D3)
NOVITA NURAINI,Manajemen Informasi Kesehatan (D4)
DIA BITARI MEI YUANA,Teknik Informatika (D4)
MARIA AZIZAH,Teknik Produksi Benih (D4)
RINDHA RENTINA DARAH PERTAMI,Produksi Tanaman Hortikultura (D3)
